phi,O2,N2,fuel,CO,CO2,CH4,H2,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",acrolein,cyclopentadiene,cyclopentene,cyclopent-3-enol,cyclopent-2-enol,toluene,cyclopentanone,cyclopentanol,cyclopent-2-enone,h radical,hydroxy radical,hydroperoxy radical,hydrogen peroxide,benzene
0.45,0.054444444,0.942055556,0.0035,4764.120715735213,448.77424822991577,72.99544368870087,327.7193717517626,491.8266375939222,196.64260457110728,33.071861041116605,6324.32205343901,2.3729667933877066,8.598500704957091,199.35043012393265,35.97357177502275,4.987012608094058,0.020331124858047816,224.18234166319868,300.5345700226061,0.00018985923831507247,191.22720234988427,472.4935578518194,58.61335240521553,0.000952519956524113,0.004042918670265462,8.163773848209493,565.4703792071425,0.5669790754723996
0.4,0.06125,0.93525,0.0035,4790.375311796405,463.4361130262,68.88065633920287,309.5632303799866,486.46075560885475,195.3611219110404,31.926540045034237,6385.660583726397,2.1639262560476924,8.009601524373199,194.65266357837825,35.01920340259978,4.809749679402435,0.01892364419216583,224.86734120247834,301.2116429031089,0.0001636050708621275,189.05364170985337,468.22950207889176,59.93354552185794,0.0009036726808868351,0.004103112401855487,8.242412320625276,574.184420571815,0.45045355862407654
0.35,0.07,0.9265,0.0035,4821.326672746737,481.00122938248614,64.36764628615474,289.741460597852,480.8208572357726,194.02554703179652,30.78299525117217,6455.608288213268,1.9513586254434965,7.420344818310106,189.08856286092117,34.13450739354852,4.625414321771885,0.017558821007279738,225.38316083334894,301.6558383688809,0.00013966573985208303,186.59519713547266,463.34633430265825,61.51101286513069,0.0008501561201352294,0.004172398943426711,8.329767002237443,583.8725882567445,0.346972869766419
0.31,0.079032258,0.917467742,0.0035,4850.507610494313,497.9014934161247,60.39091930742893,272.312082379524,476.04764388635857,192.8905193195648,29.86618981299549,6519.711292002757,1.779080855847887,6.947999015451256,183.79486353392943,33.490112471170164,4.470028317234395,0.016494051058152145,225.6379080004226,301.7933145754235,0.00012190883299836886,184.36361877802773,458.86342678113715,63.025647613859405,0.0008028763268531424,0.00423647935116003,8.40794904057083,592.5571138692644,0.27358606709681155
0.28,0.0875,0.909,0.0035,4875.685626431129,512.7962901729184,57.14125022169781,258.0692300372644,472.2697632321935,191.97799514229072,29.17471333020203,6573.891758936819,1.648846894714664,6.5926963893880295,179.17370321349188,33.05334899997487,4.346471198479683,0.015709005952336746,225.71151274911006,301.73401061854406,0.0001092434550221279,182.4950667679034,455.07627806961807,64.35873897488887,0.0007640432439952842,0.00429105897280887,8.472842621234689,599.7822009788478,0.2240357309867122
0.25,0.098,0.8985,0.0035,4904.375399149763,530.1736909342728,53.61240966935903,242.58039393503515,468.27666279004416,190.98765226090305,28.476753275115755,6634.623340315264,1.5180682875369247,6.236001949019273,173.83061635936042,32.666275984759174,4.214068380856885,0.014933593417029779,225.65942130895363,301.5005671656696,0.0000969993245566522,180.4211784040341,450.84029594558297,65.91255415254892,0.0007215699604320128,0.004352673352542978,8.544495555858077,607.7868838067546,0.1792047550060263
0.23,0.106521739,0.889978261,0.0035,4925.848830572297,543.4954189567339,51.076691315745286,231.42457914115028,465.46802102594137,190.26753918471863,28.005706117685442,6679.516043319681,1.4308212939392277,5.99713647887029,169.76734822959247,32.441806066356996,4.11894894140912,0.014420995698822275,225.54019795257165,301.2276899159254,0.00008899834142133712,178.90290995573935,447.7190663722026,67.10303206766898,0.0006907981603118962,0.004398500565519556,8.596838177252371,613.6594019711308,0.15195090659301386
0.2,0.1225,0.874,0.0035,4962.339346051137,566.8295356170518,46.94594718833177,213.18393448440213,460.9812294232141,189.06059186178584,27.285620003700796,6754.951201987963,1.300455488443305,5.636639801440032,162.7136893959605,32.167803419514534,3.9615141970568364,0.013656943007244546,225.2057937901769,300.6021490112057,0.00007711162758555227,176.3813456590411,442.5009105420284,69.18764101251955,0.0006401117655349343,0.004476010571120232,8.683830167796762,623.4853818884014,0.11504996543801609
0.19,0.128947368,0.867552632,0.0035,4975.830328568073,575.6999552187591,45.46920666274869,206.63792411534047,459.39881400330034,188.61413577121027,27.040569509834604,6782.624992798738,1.2573188393867676,5.515734239747166,160.05217177219183,32.09644831602116,3.9038036718354983,0.013403203618690632,225.04561811153195,300.3258598333412,0.00007315062267590817,175.46594243932213,440.59671950745627,69.9801377981454,0.0006217982345954439,0.004504593556651445,8.71549722182129,627.0887091020675,0.10381975789265752
0.17,0.144117647,0.852382353,0.0035,5005.13608814396,595.4712597010656,42.343719910204925,192.73211670894838,456.0776406174148,187.63364314111558,26.53988874995644,6842.440086348976,1.1719450768070205,5.272515599600145,154.1566584996858,31.99010633913058,3.7777586605609534,0.01289665213526453,224.63894112320529,299.6530515556491,0.00006518085960253268,173.50565329421033,436.5028805740134,71.74722816440101,0.0005826567318326109,0.004566619643762115,8.783599957180613,634.9005246987933,0.08298306513191653
0.15,0.163333333,0.833166667,0.0035,5037.971385387102,618.5326248528575,38.95967091947399,177.58758496102362,452.5109339907961,186.5028973164934,26.020088173547673,6909.116231369485,1.088512974146733,5.026979655835479,147.33949753976074,31.941770645780146,3.6330473696283114,0.012390944415471611,224.09930172155973,298.7950038831148,0.00005708651229958695,171.35087125830543,431.98001523257324,73.81093298356467,0.0005396310434101712,0.00463610723224372,8.859125369058694,643.6920646512781,0.06433986406831975
0.13,0.188461538,0.808038462,0.0035,5074.89674784643,645.8048650491816,35.276446307577935,160.98783720195638,448.6427248685667,185.16590895939362,25.47228759315473,6983.902835738824,1.0084259092325576,4.778412307405704,139.35057731768146,31.966597492899393,3.4619117476580494,0.0118860654591827,223.4021091149612,297.7176450361434,0.00004879106985700322,168.9735224750449,426.9670869837453,76.25843917256195,0.0004919485250457536,0.00471437631694529,8.94363546248863,653.7500858357364,0.047935168719262795
0.11,0.222727273,0.773772727,0.0035,5116.417470409481,678.56085029196,31.24611505612266,142.6757271867044,444.3995951299375,183.53847918730744,24.882008653601364,7068.14726452787,0.9341511864023732,4.525738436431066,129.84039269814988,32.08611603817698,3.2523546165757904,0.011383302824641317,222.52159914831338,296.3861803113618,0.000040222719170894564,166.34794691606376,421.41267607224813,79.2167229489183,0.00043864784911308547,0.004802738172612724,9.03906099496668,665.5120399140473,0.03382900730166729
0.1,0.245,0.7515,0.0035,5138.959366747488,697.522770458751,29.083483358982285,132.7860187207722,442.10820719037935,182.57708107939055,24.56368909101498,7114.173386721282,0.9005122891105383,4.3973434014937665,124.36564288861754,32.19079446464108,3.127572754112758,0.011133973989329972,222.00656180926904,295.61779490718123,0.00003582038266506581,164.93817446161714,418.42873944955096,80.9445668544148,0.00040952888261226896,0.00485096300627798,9.091559395824392,672.2411848008383,0.027661267935980692
